airport_code,ident,airport_type,name,latitude,longitude,elevation,iata
3106,GMFM,medium_airport,Bassatine Airport,33.8791007996,-5.5151200294,1890,MA
3107,GMFO,medium_airport,Angads Airport,34.7872009277,-1.9239900112,1535,MA
3108,GMMA,medium_airport,Smara Airport,26.7318000793,-11.6847000122,350,EH
3109,GMME,medium_airport,Rabat-Sal� Airport,34.0514984131,-6.7515201569,276,MA
3110,GMMH,medium_airport,Dakhla Airport,23.7182998657,-15.9320001602,36,EH
3111,GMMI,small_airport,Mogador Airport,31.3974990845,-9.6816701889,384,MA
3112,GMML,medium_airport,Hassan I Airport,27.1516990662,-13.2192001343,207,EH
3113,GMMN,large_airport,Mohammed V International Airport,33.3675003052,-7.5899701118,656,MA
3115,GMMX,medium_airport,Menara Airport,31.6068992615,-8.0362997055,1545,MA
3116,GMMY,medium_airport,Kenitra Airport,34.2989006042,-6.5958800316,16,MA
3117,GMMZ,medium_airport,Ouarzazate Airport,30.9391002655,-6.909430027,3782,MA
3118,GMSL,small_airport,Sidi Slimane Airport,34.2305984497,-6.050139904,179,MA
3122,GOGG,medium_airport,Ziguinchor Airport,12.5556001663,-16.2817993164,75,SN
3123,GOGS,medium_airport,Cap Skirring Airport,12.410200119,-16.746099472,52,SN
3124,GOOK,medium_airport,Kaolack Airport,14.146900177,-16.0513000488,26,SN
3125,GOOY,large_airport,L�opold S�dar Senghor International Airport,14.7397003174,-17.4902000427,85,SN
3126,GOSS,medium_airport,Saint Louis Airport,16.0508003235,-16.4631996155,9,SN
3127,GOTB,medium_airport,Bakel Airport,14.8472995758,-12.4682998657,98,SN
3128,GOTK,medium_airport,K�dougou Airport,12.5722999573,-12.2202997208,584,SN
3129,GOTT,medium_airport,Tambacounda Airport,13.7368001938,-13.6531000137,161,SN
3130,GQNA,small_airport,Aioun el Atrouss Airport,16.7112998962,-9.6378803253,951,MR
3131,GQND,small_airport,Tidjikja Airport,18.5701007843,-11.423500061,1363,MR
3132,GQNF,small_airport,Kiffa Airport,16.5900001526,-11.4062004089,424,MR
3133,GQNI,small_airport,N�ma Airport,16.6219997406,-7.3165998459,751,MR
3134,GQNK,small_airport,Ka�di Airport,16.1595001221,-13.5075998306,66,MR
3135,GQNN,medium_airport,Nouakchott International Airport,18.0981998444,-15.9484996796,13,MR
3136,GQNS,small_airport,S�libaby Airport,15.1796998978,-12.2073001862,219,MR
3137,GQPA,medium_airport,Atar International Airport,20.5067996979,-13.0431995392,734,MR
3138,GQPP,medium_airport,Nouadhibou International Airport,20.9330997467,-17.0300006866,24,MR
3139,GQPT,small_airport,Bir Moghrein Airport,25.236700058,-11.5887002945,1206,MR
3146,GUCY,medium_airport,Conakry Airport,9.57689,-13.612,72,GN
3147,GUFA,medium_airport,Fria Airport,10.3506002426,-13.5691995621,499,GN
3148,GUFH,medium_airport,Faranah Airport,10.0354995728,-10.7698001862,1476,GN
3149,GULB,medium_airport,Labe Airport,11.3261003494,-12.2868003845,3396,GN
3150,GVAC,medium_airport,Am�lcar Cabral International Airport,16.741399765,-22.9493999481,177,CV
3151,GVBA,medium_airport,Rabil Airport,16.1364994049,-22.8889007568,69,CV
3152,GVMA,medium_airport,Maio Airport,15.1559000015,-23.2136993408,36,CV
3153,GVNP,medium_airport,Praia International Airport,14.9245004654,-23.4934997559,230,CV
3154,GVSN,medium_airport,Pregui�a Airport,16.5883998871,-24.2847003937,669,CV
3155,GVSV,medium_airport,S�o Pedro Airport,16.8332004547,-25.0552997589,66,CV
3156,GG64,small_airport,Quebo Airport,11.5355997086,-14.7622995377,165,GW
3157,HAAB,medium_airport,Bole International Airport,8.9778900146,38.7993011475,7630,ET
3158,HAAL,small_airport,Lideta Army Airport,9.0036802292,38.7260017395,7749,ET
3159,HAAM,medium_airport,Arba Minch Airport,6.0393900871,37.5904998779,3901,ET
3160,HAAX,medium_airport,Axum Airport,14.1468000412,38.7728004456,6959,ET
3161,HABD,medium_airport,Bahir Dar Airport,11.6080999374,37.3216018677,5978,ET
3162,HADR,medium_airport,Aba Tenna Dejazmach Yilma International Airport,9.6246995926,41.8541984558,3827,ET
3163,HAGM,medium_airport,Gambella Airport,8.1287603378,34.5630989075,1614,ET
3164,HAGN,medium_airport,Gonder Airport,12.519900322,37.4339981079,6449,ET
3165,HAGO,medium_airport,Gode Airport,5.9351301193,43.5786018372,834,ET
3166,HAJM,medium_airport,Jimma Airport,7.6660900116,36.8166007996,5500,ET
3167,HALL,small_airport,Lalibella Airport,11.9750003815,38.9799995422,6506,ET
3168,HAMK,medium_airport,Mekele Airport,13.4673995972,39.5335006714,7396,ET
3169,HASO,medium_airport,Asosa Airport,10.0185003281,34.5862998962,5100,ET
3170,HBBA,medium_airport,Bujumbura International Airport,-3.3240199089,29.3185005188,2582,BI
3171,HCMH,medium_airport,Egal International Airport,9.5181703568,44.0887985229,4423,SO
3172,HCMI,medium_airport,Berbera Airport,10.3892002106,44.9411010742,30,SO
3173,HCMK,medium_airport,Kisimayu Airport,-0.3773530126,42.4592018127,49,SO
3174,HDAM,medium_airport,Djibouti-Ambouli Airport,11.5473003387,43.1595001221,49,DJ
3175,HEAL,medium_airport,El Alamein International Airport,30.9244995117,28.4613990784,143,EG
3177,HEAT,medium_airport,Assiut International Airport,27.0464992523,31.0119991302,772,EG
3178,HEAX,medium_airport,El Nouzha Airport,31.1839008331,29.9489002228,-6,EG
3179,HEAZ,medium_airport,Almaza Air Force Base,30.0918006897,31.3600006104,300,EG
3180,HEBA,medium_airport,Borg El Arab International Airport,30.9176998138,29.6963996887,177,EG
3181,HEBL,medium_airport,Abu Simbel Airport,22.3759994507,31.611700058,616,EG
3182,HEBS,medium_airport,Beni Suef Air Base,29.2082996368,31.0165996552,108,EG
3183,HECA,large_airport,Cairo International Airport,30.1219005585,31.4055995941,382,EG
3184,HECW,medium_airport,Cairo West Airport,30.116399765,30.9153995514,550,EG
3185,HEDK,small_airport,Dakhla Airport,25.4116001129,29.0030994415,613,EG
3189,HEGS,medium_airport,Jiyanklis Air Base,30.8197994232,30.1912002563,49,EG
3190,HEKG,small_airport,El Kharga Airport,25.4736003876,30.5907001495,192,EG
3191,HELX,medium_airport,Luxor International Airport,25.670999527,32.7066001892,294,EG
3192,HEMA,medium_airport,Marsa Alam International Airport,25.557100296,34.5836982727,251,EG
3193,HEMM,medium_airport,Mersa Matruh Airport,31.3253993988,27.2217006683,94,EG
3194,HEOC,small_airport,October Airport,29.8120994568,30.8234004974,807,EG
3195,HEOW,small_airport,Shark El Oweinat International Airport,22.5856990814,28.7166004181,859,EG
3199,HESN,medium_airport,Aswan International Airport,23.9643993378,32.8199996948,662,EG
3202,HHAS,medium_airport,Asmara International Airport,15.2918996811,38.9107017517,7661,ER
3203,HHMS,medium_airport,Massawa International Airport,15.6700000763,39.370098114,194,ER
3204,HHSB,medium_airport,Assab International Airport,13.0718002319,42.6450004578,46,ER
3205,HKEL,medium_airport,Eldoret International Airport,0.4044579864,35.238899231,6941,KE
3206,HKJK,large_airport,Jomo Kenyatta International Airport,-1.319239974,36.9277992249,5330,KE
3207,HKKG,small_airport,Kakamega Airport,0.2713420093,34.7873001099,5020,KE
3208,HKKI,medium_airport,Kisumu Airport,-0.086139001,34.7289009094,3734,KE
